Depth,Core,Nitrogen,Carbon
30,2,1.0348,5.9057
30,3,0.8769,6.7437
45,1,0.492,2.0544
45,2,0.7,2.95
45,3,0.6083,2.8143
60,1,0.6237,1.7046
60,2,0.8294,2.4717
60,3,0.5864,2.6966
7.5,1,1.5658,15.3353
7.5,2,1.0793,10.6175
7.5,3,1.216,12.6067
15,1,0.95,8.59
15,2,0.9023,7.7139
15,3,0.8772,8.4009
30,1,1.059,12.1456
30,2,0.8466,5.5587
30,3,0.6343,4.8264
45,1,0.6541,2.6807
45,2,0.5578,3.2419
45,3,0.5153,2.6031
60,1,0.5369,2.2162
60,2,0.8946,3.0703
60,3,0.5737,2.0809
7.5,1,1.618,16.8236
7.5,2,1.8188,17.6596
7.5,3,1.7486,15.8875
15,1,1.0541,11.5373
15,2,1.2014,11.1764
15,3,1.1664,9.0088
30,1,0.7613,19.6166
30,2,0.7043,6.37
30,3,0.8311,6.1659
45,1,0.885,3.0895
45,2,0.5555,2.8284
45,3,0.5139,2.9152
60,1,0.6828,2.7287
60,2,0.7326,2.8509
60,3,0.6712,2.9265
7.5,1,1.5459,16.7804
7.5,2,1.4801,16.9897
7.5,3,1.4315,14.5722
15,1,1.3522,10.5348
15,2,1.0527,10.3909
15,3,0.9433,10.3811
30,1,0.9273,6.8141
30,2,0.6301,4.7414
30,3,0.6283,4.5117
45,1,0.8038,3.308
45,2,0.7222,2.6537
45,3,0.4763,2.0442
60,1,0.6112,2.5028
60,2,0.8876,3.792
60,3,0.4452,2.0793
7.5,1,2.0403,18.838
7.5,2,1.8319,16.8324
7.5,3,1.6749,15.6492
15,1,1.6482,12.369
15,2,0.9168,8.6956
15,3,0.8301,8.7667
30,1,0.88,6.36
30,2,0.5591,4.97
30,3,0.5891,5.7527
45,1,0.5393,3.6975
45,2,0.61,2.59
45,3,0.4612,2.3312
60,1,0.4401,1.6636
60,2,0.4601,1.8979
60,3,0.436,1.6397
7.5,1,2.3614,23.7289
7.5,2,1.6924,16.9555
7.5,3,1.7549,19.0833
15,1,1.4471,12.6402
15,2,1.005,10.1759
15,3,1.007,9.6271
30,1,1.0016,5.8151
30,2,0.6417,4.5911
30,3,1.2366,7.1431
45,1,0.6608,3.7538
45,2,0.6876,2.8505
45,3,0.7995,3.209
60,1,0.9733,4.4085
60,2,0.7628,3.5429
60,3,0.7,2.93
7.5,1,1.7458,19.9517
7.5,2,1.801,18.4152
7.5,3,1.7864,19.5367
15,1,1.3023,11.6233
15,2,0.8981,10.4875
15,3,0.9982,10.5225
30,1,1.0237,7.1952
30,2,0.6982,5.461
30,3,0.6569,6.8419
45,1,0.7706,3.8027
45,2,0.4694,2.713
45,3,0.6514,3.3593
60,1,0.5685,1.8926
60,2,0.4518,2.5268
60,3,0.3589,1.3695
7.5,1,1.9746,19.8334
7.5,2,2.28,22.36
7.5,3,2.0506,23.3837
15,1,1.7376,13.6689
15,2,1.2637,11.207
15,3,1.2825,10.4217
30,1,0.901,8.1209
30,2,1.0238,7.0488
30,3,0.687,6.3163
45,1,0.7653,3.729
45,2,0.5967,3.1919
45,3,0.831,4.169
60,1,0.6265,2.3076
60,2,0.6057,2.7216
60,3,0.6025,1.907
